district_id,district_name
517,ناحية عون
518, الحر
519,ناحية الحسينية
520,عين التمر
521,ناحية الرحالية
522,طويريج
523,الجدول الغربي
524,ناحية الخيرات
627,حي القادسية
1306,حي العامل
1307,حي النواب
1308,حي الموظفين
1309,حي الغدير
1310,حي الاسرة
1311,حي الحسين
1312,حي العباس
1313,حي سيف سعد
1314,حي الامين
1315,شارع ميثم التمار
1316,حي النقيب
1317,حي البلدية
1318,حي العسكري
1319,حي الامن الداخلي
1320,حي السلام
1321,حي النصر
1322,حي الوفاء
1323,حي المجتبى
1324,حي الاسكان
1325,حي الزهراء
1326,حي الحافظ
1327,حي الجابر
1328,حي الزبيلية
1329,شارع ابو طالب
1330,حي الرسالة
1331,حي الملحق
1332,حي التعاون
1333,حي الجاهز
1334,حي البعث
1335,حي التحدي
1336,حي المعلجي
1337,البوبيات
1338,شارع احمد الوائلي
1339,حي المحمدية
1340,حي الاطباء
1341,حي المعلمين
1342,حي الفارس
1343,كنطرة السلام
1344,باب طويريج
1345,سيطرة الابراهيمية
1346,العامرية
1347,السياحي
1348,المعهد التقني
1349,نهر السلام
1350,شط الله
1351,العيوج صدور وبزايز
1352,الرجيبة
1353,حي العباس / الرجيبة
1354,حي العسكري / الرجيبة
1355,الشاطي
1357,الكويل
1358,شط ملة
1359,ال عبد الله
1360,ال مجلي
1361,الفيادة
1362,الكريط
1363,ابو عويجيلة
1364,ابو رواية
1366,حي الجمعية
1367,حي المثنى
1368,حي ابو جوعانة
1369,حي الضباط
1370,حي ام الهوى
1371,حي الشهداء
1372,حي الحسين / طويريج
1373,شارع الحولي / طويريج
1374,الطبر
1375,الرشيدة
1376,جناجه
1377,حي الرياض
1378,حي الشبذين
1379,حي الزهراء / طويريج
1380,حي ابليبيج
1381,شارع الربط
1643,قرب الامام
1672,حي الولاء
2704,عامود 685
2705,عامود 686
2706,عامود 687
2707,عامود 688
2708,عامود 689
2709,عامود 690
2710,عامود 691
2711,عامود 692
2712,عامود 693
2713,عامود 694
2714,عامود 695
2715,عامود 696
2716,عامود 697
2717,عامود 698
2718,عامود 699
2719,عامود 700
2720,عامود 701
2721,عامود 702
2722,عامود 703
2723,عامود 704
2724,عامود 705
2725,عامود 706
2726,عامود 707
2727,عامود 708
2728,عامود 709
2729,عامود 710
2730,عامود 711
2731,عامود 712
2732,عامود 713
2733,عامود 714
2734,عامود 715
2735,عامود 716
2736,عامود 717
2737,عامود 718
2738,عامود 719
2739,عامود 720
2740,عامود 721
2741,عامود 722
2742,عامود 723
2743,عامود 724
2744,عامود 725
2745,عامود 726
2746,عامود 727
2747,عامود 728
2748,عامود 729
2749,عامود 730
2750,عامود 731
2751,عامود 732
2752,عامود 733
2753,عامود 734
2754,عامود 735
2755,عامود 736
2756,عامود 737
2757,عامود 738
2758,عامود 739
2759,عامود 740
2760,عامود 741
2761,عامود 742
2762,عامود 743
2763,عامود 744
2764,عامود 745
2765,عامود 746
2766,عامود 747
2767,عامود 748
2768,عامود 749
2769,عامود 750
2770,عامود 751
2771,عامود 752
2772,عامود 753
2773,عامود 754
2774,عامود 755
2775,عامود 756
2776,عامود 757
2777,عامود 758
2778,عامود 759
2779,عامود 760
2780,عامود 761
2781,عامود 762
2782,عامود 763
2783,عامود 764
2784,عامود 765
2785,عامود 766
2786,عامود 767
2787,عامود 768
2788,عامود 769
2789,عامود 770
2790,عامود 771
2791,عامود 772
2792,عامود 773
2793,عامود 774
2794,عامود 775
2795,عامود 776
2796,عامود 777
